Latitude, Longitude, Data Value
81, -179, -999
81, -178, -999
81, -177, -999
81, -176, -999
81, -175, -999
81, -174, -999
81, -173, -999
81, -172, -999
81, -171, -999
81, -170, -999
81, -169, -999
81, -168, -999
81, -167, -999
81, -166, -999
81, -165, -999
81, -164, -999
81, -163, -999
81, -162, -999
81, -161, -999
81, -160, -999
81, -159, -999
81, -158, -999
81, -157, -999
81, -156, -999
81, -155, -999
81, -154, -999
81, -153, -999
81, -152, -999
81, -151, -999
81, -150, -999
81, -149, -999
81, -148, -999
81, -147, -999
81, -146, -999
81, -145, -999
81, -144, -999
81, -143, -999
81, -142, -999
81, -141, -999
81, -140, -999
81, -139, -999
81, -138, -999
81, -137, -999
81, -136, -999
81, -135, -999
81, -134, -999
81, -133, -999
81, -132, -999
81, -131, -999
81, -130, -999
81, -129, -999
81, -128, -999
81, -127, -999
81, -126, -999
81, -125, -999
81, -124, -999
81, -123, -999
81, -122, -999
81, -121, -999
81, -120, -999
81, -119, -999
81, -118, -999
81, -117, -999
81, -116, -999
81, -115, -999
81, -114, -999
81, -113, -999
81, -112, -999
81, -111, -999
81, -110, -999
81, -109, -999
81, -108, -999
81, -107, -999
81, -106, -999
81, -105, -999
81, -104, -999
81, -103, -999
81, -102, -999
81, -101, -999
81, -100, -999
81, -99, -999
81, -98, -999
81, -97, -999
81, -96, -999
81, -95, -999
81, -94, -999
81, -93, -999
81, -92, -999
81, -91, -999
81, -90, -999
81, -89, -999
81, -88, 0.650828
81, -87, -999
81, -86, 2.0419
81, -85, 1.5431
81, -84, -999
81, -83, -999
81, -82, -999
81, -81, -999
81, -80, -999
81, -79, -999
81, -78, 0.861286
81, -77, -999
81, -76, -999
81, -75, -999
81, -74, 0.357378
81, -73, -999
81, -72, -999
81, -71, -999
81, -70, -999
81, -69, -999
81, -68, -999
81, -67, -999
81, -66, 0.345678
81, -65, -999
81, -64, 0.467802
81, -63, -999
81, -62, -999
81, -61, -999
81, -60, -999
81, -59, -999
81, -58, -999
81, -57, -999
81, -56, -999
81, -55, -999
81, -54, -999
81, -53, -999
81, -52, -999
81, -51, -999
81, -50, -999
81, -49, -999
81, -48, -999
81, -47, -999
81, -46, -999
81, -45, -999
81, -44, -999
81, -43, -999
81, -42, -999
81, -41, -999
81, -40, -999
81, -39, -999
81, -38, -999
81, -37, -999
81, -36, -999
81, -35, -999
81, -34, -999
81, -33, -999
81, -32, -999
81, -31, -999
81, -30, -999
81, -29, -999
81, -28, -999
81, -27, -999
81, -26, -999
81, -25, -999
81, -24, -999
